2017-02-27 18:18:53 status unpacked procps:amd64 2:3.3.9-9
2017-02-27 18:18:53 install sed:amd64 <none> 4.2.2-4+deb8u1
2017-02-27 18:18:53 status half-installed sed:amd64 4.2.2-4+deb8u1
2017-02-27 18:18:54 status unpacked sed:amd64 4.2.2-4+deb8u1
2017-02-27 18:18:54 status unpacked sed:amd64 4.2.2-4+deb8u1
2017-02-27 18:18:54 install sensible-utils:all <none> 0.0.9
2017-02-27 18:18:54 status half-installed sensible-utils:all 0.0.9
2017-02-27 18:18:55 status unpacked sensible-utils:all 0.0.9
2017-02-27 18:18:55 status unpacked sensible-utils:all 0.0.9
2017-02-27 18:18:55 install login:amd64 <none> 1:4.2-3+deb8u1
2017-02-27 18:18:55 status half-installed login:amd64 1:4.2-3+deb8u1
2017-02-27 18:18:56 status unpacked login:amd64 1:4.2-3+deb8u1
2017-02-27 18:18:56 status unpacked login:amd64 1:4.2-3+deb8u1
2017-02-27 18:18:57 install passwd:amd64 <none> 1:4.2-3+deb8u1
2017-02-27 18:18:57 status half-installed passwd:amd64 1:4.2-3+deb8u1
2017-02-27 18:18:57 status unpacked passwd:amd64 1:4.2-3+deb8u1
2017-02-27 18:18:58 status unpacked passwd:amd64 1:4.2-3+deb8u1
2017-02-27 18:18:58 install libslang2:amd64 <none> 2.3.0-2
2017-02-27 18:18:58 status half-installed libslang2:amd64 2.3.0-2
2017-02-27 18:18:58 status unpacked libslang2:amd64 2.3.0-2
2017-02-27 18:18:58 status unpacked libslang2:amd64 2.3.0-2
2017-02-27 18:18:58 install startpar:amd64 <none> 0.59-3
2017-02-27 18:18:58 status half-installed startpar:amd64 0.59-3
2017-02-27 18:18:59 status unpacked startpar:amd64 0.59-3
2017-02-27 18:18:59 status unpacked startpar:amd64 0.59-3
2017-02-27 18:18:59 install libsystemd0:amd64 <none> 215-17+deb8u6
2017-02-27 18:18:59 status half-installed libsystemd0:amd64 215-17+deb8u6
2017-02-27 18:18:59 status unpacked libsystemd0:amd64 215-17+deb8u6
2017-02-27 18:18:59 status unpacked libsystemd0:amd64 215-17+deb8u6
